recipe_name,cuisine_type,meal_type,difficulty_level,prep_time_minutes,cook_time_minutes,servings,main_ingredients,all_ingredients,dietary_restrictions,instructions,nutritional_info
Italian Spinach & Potatoes Bake,Italian,Breakfast,Easy,41,82,5,"Spinach, Potatoes, Fish","Spinach, Potatoes, Fish, Milk, Soy Sauce, Garlic, Flour","Contains dairy, Contains nuts","Prepare Spinach, Potatoes, Fish. Cook with Spinach, Potatoes, Fish, Milk, Soy Sauce, Garlic, Flour. Season and serve.","Calories: 394, Protein: 26g, Carbs: 20g, Fat: 5g"
Vietnamese Potatoes Bake,Vietnamese,Lunch,Medium,38,6,5,"Potatoes, Pork, Beef","Potatoes, Pork, Beef, Olive Oil, Sugar, Milk, Spices",Vegan,"Prepare Potatoes, Pork, Beef. Cook with Potatoes, Pork, Beef, Olive Oil, Sugar, Milk, Spices. Season and serve.","Calories: 566, Protein: 16g, Carbs: 75g, Fat: 30g"
Japanese Shrimp Yakisoba,Japanese,Breakfast,Medium,53,33,1,"Shrimp, Fish, Pork","Shrimp, Fish, Pork, Flour, Olive Oil, Honey, Onion","Kosher, Low-carb, Halal","Prepare Shrimp, Fish, Pork. Cook with Shrimp, Fish, Pork, Flour, Olive Oil, Honey, Onion. Season and serve.","Calories: 392, Protein: 13g, Carbs: 41g, Fat: 27g"
Vietnamese Chicken Roast,Vietnamese,Desserts,Medium,67,102,2,"Chicken, Lentils, Beef","Chicken, Lentils, Beef, Spices, Milk, Sugar, Olive Oil",Low-carb,"Prepare Chicken, Lentils, Beef. Cook with Chicken, Lentils, Beef, Spices, Milk, Sugar, Olive Oil. Season and serve.","Calories: 501, Protein: 9g, Carbs: 26g, Fat: 22g"
Mexican Pork Bites,Mexican,Snacks,Easy,76,130,2,"Pork, Spinach, Cheese","Pork, Spinach, Cheese, Herbs, Chili, Butter, Flour","Halal, Vegan, Contains nuts","Prepare Pork, Spinach, Cheese. Cook with Pork, Spinach, Cheese, Herbs, Chili, Butter, Flour. Season and serve.","Calories: 283, Protein: 34g, Carbs: 13g, Fat: 30g"
Thai Potatoes Tom Kha,Thai,Desserts,Medium,15,83,7,"Potatoes, Eggs, Spinach","Potatoes, Eggs, Spinach, Butter, Sugar, Onion, Garlic","Vegan, Vegetarian","Prepare Potatoes, Eggs, Spinach. Cook with Potatoes, Eggs, Spinach, Butter, Sugar, Onion, Garlic. Season and serve.","Calories: 675, Protein: 13g, Carbs: 44g, Fat: 20g"
Mexican Tomatoes Pozole,Mexican,Snacks,Hard,34,38,6,"Tomatoes, Chicken, Mushrooms","Tomatoes, Chicken, Mushrooms, Spices, Sugar, Onion, Butter","Low-carb, Gluten-free, Vegan","Prepare Tomatoes, Chicken, Mushrooms. Cook with Tomatoes, Chicken, Mushrooms, Spices, Sugar, Onion, Butter. Season and serve.","Calories: 264, Protein: 32g, Carbs: 57g, Fat: 8g"
Italian Pork Power Bowl,Italian,Lunch,Easy,84,42,6,"Pork, Tofu, Shrimp","Pork, Tofu, Shrimp, Onion, Soy Sauce, Chili, Cream",Contains nuts,"Prepare Pork, Tofu, Shrimp. Cook with Pork, Tofu, Shrimp, Onion, Soy Sauce, Chili, Cream. Season and serve.","Calories: 348, Protein: 22g, Carbs: 39g, Fat: 22g"
Chinese Mushrooms Stew,Chinese,Breakfast,Easy,44,8,4,"Mushrooms, Chicken, Spinach","Mushrooms, Chicken, Spinach, Garlic, Milk, Olive Oil, Herbs","Halal, Vegetarian, Paleo","Prepare Mushrooms, Chicken, Spinach. Cook with Mushrooms, Chicken, Spinach, Garlic, Milk, Olive Oil, Herbs. Season and serve.","Calories: 645, Protein: 34g, Carbs: 17g, Fat: 11g"
Middle Eastern Beef Skillet,Middle Eastern,Desserts,Hard,44,45,4,"Beef, Eggs, Tomatoes","Beef, Eggs, Tomatoes, Flour, Herbs, Cream, Onion","Vegan, Paleo, Halal","Prepare Beef, Eggs, Tomatoes. Cook with Beef, Eggs, Tomatoes, Flour, Herbs, Cream, Onion. Season and serve.","Calories: 383, Protein: 30g, Carbs: 47g, Fat: 9g"
Mediterranean Lentils Skewers,Mediterranean,Breakfast,Hard,89,153,3,"Lentils, Spinach, Eggs","Lentils, Spinach, Eggs, Cream, Milk, Yogurt, Flour","Contains nuts, Vegetarian","Prepare Lentils, Spinach, Eggs. Cook with Lentils, Spinach, Eggs, Cream, Milk, Yogurt, Flour. Season and serve.","Calories: 636, Protein: 14g, Carbs: 65g, Fat: 22g"
Mediterranean Chicken Sandwich,Mediterranean,Lunch,Hard,78,31,8,"Chicken, Eggs, Beef","Chicken, Eggs, Beef, Garlic, Herbs, Flour, Onion",Vegetarian,"Prepare Chicken, Eggs, Beef. Cook with Chicken, Eggs, Beef, Garlic, Herbs, Flour, Onion. Season and serve.","Calories: 548, Protein: 34g, Carbs: 13g, Fat: 29g"
African Pasta Salad,African,Lunch,Medium,76,6,4,"Pasta, Tofu, Eggs","Pasta, Tofu, Eggs, Yogurt, Honey, Cream, Soy Sauce","Halal, Contains shellfish","Prepare Pasta, Tofu, Eggs. Cook with Pasta, Tofu, Eggs, Yogurt, Honey, Cream, Soy Sauce. Season and serve.","Calories: 664, Protein: 22g, Carbs: 74g, Fat: 29g"
American Shrimp Pilaf,American,Dinner,Hard,57,148,5,"Shrimp, Eggs, Pasta","Shrimp, Eggs, Pasta, Soy Sauce, Butter, Garlic, Olive Oil",Kosher,"Prepare Shrimp, Eggs, Pasta. Cook with Shrimp, Eggs, Pasta, Soy Sauce, Butter, Garlic, Olive Oil. Season and serve.","Calories: 279, Protein: 22g, Carbs: 22g, Fat: 11g"
Mediterranean Pork & Spinach Stir-Fry,Mediterranean,Dinner,Hard,68,70,1,"Pork, Spinach, Shrimp","Pork, Spinach, Shrimp, Milk, Cream, Garlic, Chili","Contains dairy, Contains nuts","Prepare Pork, Spinach, Shrimp. Cook with Pork, Spinach, Shrimp, Milk, Cream, Garlic, Chili. Season and serve.","Calories: 642, Protein: 33g, Carbs: 72g, Fat: 26g"
Indian Pork Skillet,Indian,Desserts,Easy,5,49,2,"Pork, Shrimp, Mushrooms","Pork, Shrimp, Mushrooms, Sugar, Yogurt, Chili, Milk","Gluten-free, Contains nuts, Contains shellfish","Prepare Pork, Shrimp, Mushrooms. Cook with Pork, Shrimp, Mushrooms, Sugar, Yogurt, Chili, Milk. Season and serve.","Calories: 343, Protein: 14g, Carbs: 21g, Fat: 23g"
Korean Potatoes Roast,Korean,Dinner,Hard,36,151,5,"Potatoes, Eggs, Pasta","Potatoes, Eggs, Pasta, Honey, Olive Oil, Milk, Onion","Paleo, Contains shellfish","Prepare Potatoes, Eggs, Pasta. Cook with Potatoes, Eggs, Pasta, Honey, Olive Oil, Milk, Onion. Season and serve.","Calories: 564, Protein: 21g, Carbs: 19g, Fat: 23g"
Spanish Tofu Bowl,Spanish,Snacks,Hard,48,62,4,"Tofu, Pork, Beef","Tofu, Pork, Beef, Cream, Butter, Soy Sauce, Sugar","Gluten-free, Vegan","Prepare Tofu, Pork, Beef. Cook with Tofu, Pork, Beef, Cream, Butter, Soy Sauce, Sugar. Season and serve.","Calories: 372, Protein: 19g, Carbs: 55g, Fat: 28g"
Mexican Pork Tacos,Mexican,Lunch,Hard,35,84,4,"Pork, Mushrooms, Chicken","Pork, Mushrooms, Chicken, Herbs, Onion, Chili, Honey","Gluten-free, Vegetarian, Contains shellfish","Prepare Pork, Mushrooms, Chicken. Cook with Pork, Mushrooms, Chicken, Herbs, Onion, Chili, Honey. Season and serve.","Calories: 353, Protein: 33g, Carbs: 63g, Fat: 18g"
Middle Eastern Rice Pilaf,Middle Eastern,Dinner,Medium,15,107,2,"Rice, Pasta, Lentils","Rice, Pasta, Lentils, Olive Oil, Spices, Garlic, Chili","Contains nuts, Kosher","Prepare Rice, Pasta, Lentils. Cook with Rice, Pasta, Lentils, Olive Oil, Spices, Garlic, Chili. Season and serve.","Calories: 214, Protein: 6g, Carbs: 69g, Fat: 11g"
American Lentils Cookies,American,Desserts,Medium,67,168,4,"Lentils, Cheese, Potatoes","Lentils, Cheese, Potatoes, Flour, Cream, Sugar, Honey",Low-carb,"Prepare Lentils, Cheese, Potatoes. Cook with Lentils, Cheese, Potatoes, Flour, Cream, Sugar, Honey. Season and serve.","Calories: 229, Protein: 8g, Carbs: 68g, Fat: 28g"
American Tofu Skillet,American,Lunch,Hard,5,98,7,"Tofu, Cheese, Eggs","Tofu, Cheese, Eggs, Butter, Honey, Spices, Herbs",Gluten-free,"Prepare Tofu, Cheese, Eggs. Cook with Tofu, Cheese, Eggs, Butter, Honey, Spices, Herbs. Season and serve.","Calories: 593, Protein: 8g, Carbs: 16g, Fat: 6g"
Thai Chicken Tom Kha,Thai,Breakfast,Medium,41,131,2,"Chicken, Mushrooms, Lentils","Chicken, Mushrooms, Lentils, Spices, Garlic, Milk, Honey","Contains dairy, Halal, Vegetarian","Prepare Chicken, Mushrooms, Lentils. Cook with Chicken, Mushrooms, Lentils, Spices, Garlic, Milk, Honey. Season and serve.","Calories: 634, Protein: 5g, Carbs: 79g, Fat: 22g"
Japanese Lentils Casserole,Japanese,Lunch,Medium,56,108,8,"Lentils, Shrimp, Eggs","Lentils, Shrimp, Eggs, Spices, Flour, Olive Oil, Yogurt","Low-carb, Contains dairy","Prepare Lentils, Shrimp, Eggs. Cook with Lentils, Shrimp, Eggs, Spices, Flour, Olive Oil, Yogurt. Season and serve.","Calories: 648, Protein: 6g, Carbs: 43g, Fat: 25g"
Italian Potatoes Cheesecake,Italian,Desserts,Hard,62,157,8,"Potatoes, Spinach, Lentils","Potatoes, Spinach, Lentils, Honey, Soy Sauce, Chili, Cream","Halal, Vegan, Contains dairy","Prepare Potatoes, Spinach, Lentils. Cook with Potatoes, Spinach, Lentils, Honey, Soy Sauce, Chili, Cream. Season and serve.","Calories: 567, Protein: 32g, Carbs: 59g, Fat: 9g"
French Potatoes Bowl,French,Snacks,Hard,6,101,2,"Potatoes, Fish, Lentils","Potatoes, Fish, Lentils, Sugar, Milk, Herbs, Olive Oil","Vegan, Contains shellfish","Prepare Potatoes, Fish, Lentils. Cook with Potatoes, Fish, Lentils, Sugar, Milk, Herbs, Olive Oil. Season and serve.","Calories: 222, Protein: 17g, Carbs: 14g, Fat: 9g"
Spanish Tomatoes Bowl,Spanish,Dinner,Medium,70,62,2,"Tomatoes, Eggs, Pasta","Tomatoes, Eggs, Pasta, Chili, Olive Oil, Onion, Soy Sauce",Gluten-free,"Prepare Tomatoes, Eggs, Pasta. Cook with Tomatoes, Eggs, Pasta, Chili, Olive Oil, Onion, Soy Sauce. Season and serve.","Calories: 551, Protein: 37g, Carbs: 70g, Fat: 9g"
French Spinach Soup,French,Desserts,Hard,83,157,5,"Spinach, Chicken, Rice","Spinach, Chicken, Rice, Garlic, Cream, Sugar, Herbs","Vegetarian, Paleo","Prepare Spinach, Chicken, Rice. Cook with Spinach, Chicken, Rice, Garlic, Cream, Sugar, Herbs. Season and serve.","Calories: 459, Protein: 22g, Carbs: 11g, Fat: 28g"
Italian Fish Pilaf,Italian,Desserts,Easy,18,59,5,"Fish, Spinach, Pork","Fish, Spinach, Pork, Spices, Soy Sauce, Garlic, Cream","Vegetarian, Halal","Prepare Fish, Spinach, Pork. Cook with Fish, Spinach, Pork, Spices, Soy Sauce, Garlic, Cream. Season and serve.","Calories: 623, Protein: 17g, Carbs: 70g, Fat: 11g"
African Shrimp Stir-Fry,African,Lunch,Medium,86,14,4,"Shrimp, Tomatoes, Eggs","Shrimp, Tomatoes, Eggs, Milk, Soy Sauce, Yogurt, Garlic",Gluten-free,"Prepare Shrimp, Tomatoes, Eggs. Cook with Shrimp, Tomatoes, Eggs, Milk, Soy Sauce, Yogurt, Garlic. Season and serve.","Calories: 565, Protein: 24g, Carbs: 47g, Fat: 14g"
Mediterranean Shrimp Mezze Bowl,Mediterranean,Desserts,Hard,64,105,7,"Shrimp, Beef, Lentils","Shrimp, Beef, Lentils, Onion, Garlic, Milk, Butter","Contains dairy, Contains shellfish","Prepare Shrimp, Beef, Lentils. Cook with Shrimp, Beef, Lentils, Onion, Garlic, Milk, Butter. Season and serve.","Calories: 580, Protein: 27g, Carbs: 68g, Fat: 24g"
French Fish Pilaf,French,Snacks,Medium,48,87,5,"Fish, Rice, Pork","Fish, Rice, Pork, Cream, Herbs, Soy Sauce, Spices",Vegetarian,"Prepare Fish, Rice, Pork. Cook with Fish, Rice, Pork, Cream, Herbs, Soy Sauce, Spices. Season and serve.","Calories: 493, Protein: 31g, Carbs: 10g, Fat: 19g"
Middle Eastern Shrimp Tagine,Middle Eastern,Desserts,Hard,19,5,2,"Shrimp, Spinach, Rice","Shrimp, Spinach, Rice, Spices, Milk, Flour, Garlic",Low-carb,"Prepare Shrimp, Spinach, Rice. Cook with Shrimp, Spinach, Rice, Spices, Milk, Flour, Garlic. Season and serve.","Calories: 438, Protein: 35g, Carbs: 52g, Fat: 10g"
Vietnamese Tofu Sandwich,Vietnamese,Lunch,Medium,28,2,8,"Tofu, Potatoes, Cheese","Tofu, Potatoes, Cheese, Butter, Onion, Honey, Olive Oil","Kosher, Vegetarian, Gluten-free","Prepare Tofu, Potatoes, Cheese. Cook with Tofu, Potatoes, Cheese, Butter, Onion, Honey, Olive Oil. Season and serve.","Calories: 265, Protein: 35g, Carbs: 43g, Fat: 12g"
Chinese Chicken Skillet,Chinese,Snacks,Hard,58,29,8,"Chicken, Fish, Pasta","Chicken, Fish, Pasta, Onion, Yogurt, Herbs, Cream","Contains shellfish, Vegan, Vegetarian","Prepare Chicken, Fish, Pasta. Cook with Chicken, Fish, Pasta, Onion, Yogurt, Herbs, Cream. Season and serve.","Calories: 391, Protein: 31g, Carbs: 68g, Fat: 12g"
African Tomatoes Salad,African,Lunch,Medium,55,42,4,"Tomatoes, Eggs, Beef","Tomatoes, Eggs, Beef, Olive Oil, Butter, Sugar, Herbs",Contains dairy,"Prepare Tomatoes, Eggs, Beef. Cook with Tomatoes, Eggs, Beef, Olive Oil, Butter, Sugar, Herbs. Season and serve.","Calories: 279, Protein: 24g, Carbs: 34g, Fat: 30g"
Spanish Fish Brownies,Spanish,Desserts,Easy,85,9,8,"Fish, Pasta, Shrimp","Fish, Pasta, Shrimp, Sugar, Chili, Honey, Garlic",Kosher,"Prepare Fish, Pasta, Shrimp. Cook with Fish, Pasta, Shrimp, Sugar, Chili, Honey, Garlic. Season and serve.","Calories: 223, Protein: 23g, Carbs: 12g, Fat: 19g"
Spanish Shrimp Tortilla,Spanish,Lunch,Medium,7,95,2,"Shrimp, Beef, Tomatoes","Shrimp, Beef, Tomatoes, Flour, Olive Oil, Soy Sauce, Spices",Halal,"Prepare Shrimp, Beef, Tomatoes. Cook with Shrimp, Beef, Tomatoes, Flour, Olive Oil, Soy Sauce, Spices. Season and serve.","Calories: 222, Protein: 19g, Carbs: 16g, Fat: 22g"
Thai Lentils Overnight Oats,Thai,Breakfast,Medium,55,75,1,"Lentils, Mushrooms, Tomatoes","Lentils, Mushrooms, Tomatoes, Olive Oil, Onion, Soy Sauce, Sugar","Vegetarian, Contains nuts, Paleo","Prepare Lentils, Mushrooms, Tomatoes. Cook with Lentils, Mushrooms, Tomatoes, Olive Oil, Onion, Soy Sauce, Sugar. Season and serve.","Calories: 398, Protein: 7g, Carbs: 32g, Fat: 14g"
Korean Rice Bulgogi,Korean,Lunch,Medium,10,48,3,"Rice, Fish, Spinach","Rice, Fish, Spinach, Sugar, Spices, Soy Sauce, Garlic","Contains shellfish, Kosher","Prepare Rice, Fish, Spinach. Cook with Rice, Fish, Spinach, Sugar, Spices, Soy Sauce, Garlic. Season and serve.","Calories: 290, Protein: 17g, Carbs: 14g, Fat: 8g"
Korean Pasta Bibimbap,Korean,Dinner,Medium,23,8,5,"Pasta, Spinach, Fish","Pasta, Spinach, Fish, Garlic, Soy Sauce, Milk, Yogurt","Vegan, Contains shellfish, Contains nuts","Prepare Pasta, Spinach, Fish. Cook with Pasta, Spinach, Fish, Garlic, Soy Sauce, Milk, Yogurt. Season and serve.","Calories: 405, Protein: 23g, Carbs: 32g, Fat: 30g"
Japanese Rice Pilaf,Japanese,Lunch,Medium,66,140,5,"Rice, Beef, Potatoes","Rice, Beef, Potatoes, Sugar, Soy Sauce, Onion, Yogurt",Contains dairy,"Prepare Rice, Beef, Potatoes. Cook with Rice, Beef, Potatoes, Sugar, Soy Sauce, Onion, Yogurt. Season and serve.","Calories: 313, Protein: 22g, Carbs: 27g, Fat: 8g"
Mediterranean Rice Stir-Fry,Mediterranean,Lunch,Easy,78,52,7,"Rice, Spinach, Cheese","Rice, Spinach, Cheese, Chili, Flour, Soy Sauce, Milk",Paleo,"Prepare Rice, Spinach, Cheese. Cook with Rice, Spinach, Cheese, Chili, Flour, Soy Sauce, Milk. Season and serve.","Calories: 536, Protein: 27g, Carbs: 70g, Fat: 25g"
Italian Tofu Roast,Italian,Dinner,Medium,64,163,3,"Tofu, Lentils, Cheese","Tofu, Lentils, Cheese, Honey, Sugar, Herbs, Cream","Paleo, Vegan, Gluten-free","Prepare Tofu, Lentils, Cheese. Cook with Tofu, Lentils, Cheese, Honey, Sugar, Herbs, Cream. Season and serve.","Calories: 612, Protein: 10g, Carbs: 41g, Fat: 21g"
Japanese Eggs Bake,Japanese,Desserts,Hard,60,117,8,"Eggs, Lentils, Potatoes","Eggs, Lentils, Potatoes, Yogurt, Cream, Garlic, Soy Sauce","Contains shellfish, Gluten-free","Prepare Eggs, Lentils, Potatoes. Cook with Eggs, Lentils, Potatoes, Yogurt, Cream, Garlic, Soy Sauce. Season and serve.","Calories: 494, Protein: 15g, Carbs: 28g, Fat: 22g"
Chinese Spinach Dumplings,Chinese,Desserts,Medium,12,145,4,"Spinach, Fish, Shrimp","Spinach, Fish, Shrimp, Spices, Yogurt, Cream, Onion",Low-carb,"Prepare Spinach, Fish, Shrimp. Cook with Spinach, Fish, Shrimp, Spices, Yogurt, Cream, Onion. Season and serve.","Calories: 248, Protein: 29g, Carbs: 17g, Fat: 9g"
Middle Eastern Lentils Tagine,Middle Eastern,Dinner,Hard,24,123,6,"Lentils, Pork, Pasta","Lentils, Pork, Pasta, Milk, Soy Sauce, Garlic, Herbs","Kosher, Vegan","Prepare Lentils, Pork, Pasta. Cook with Lentils, Pork, Pasta, Milk, Soy Sauce, Garlic, Herbs. Season and serve.","Calories: 508, Protein: 8g, Carbs: 74g, Fat: 19g"
Mediterranean Pasta Skewers,Mediterranean,Lunch,Hard,59,7,4,"Pasta, Chicken, Cheese","Pasta, Chicken, Cheese, Milk, Butter, Sugar, Honey","Vegan, Contains shellfish","Prepare Pasta, Chicken, Cheese. Cook with Pasta, Chicken, Cheese, Milk, Butter, Sugar, Honey. Season and serve.","Calories: 551, Protein: 37g, Carbs: 16g, Fat: 7g"
Mexican Chicken Frittata,Mexican,Breakfast,Medium,62,51,1,"Chicken, Mushrooms, Pork","Chicken, Mushrooms, Pork, Butter, Honey, Soy Sauce, Olive Oil","Halal, Contains nuts","Prepare Chicken, Mushrooms, Pork. Cook with Chicken, Mushrooms, Pork, Butter, Honey, Soy Sauce, Olive Oil. Season and serve.","Calories: 589, Protein: 16g, Carbs: 15g, Fat: 23g"
Mediterranean Chicken Bites,Mediterranean,Snacks,Medium,31,13,5,"Chicken, Shrimp, Beef","Chicken, Shrimp, Beef, Herbs, Soy Sauce, Butter, Cream","Kosher, Halal, Low-carb","Prepare Chicken, Shrimp, Beef. Cook with Chicken, Shrimp, Beef, Herbs, Soy Sauce, Butter, Cream. Season and serve.","Calories: 532, Protein: 38g, Carbs: 14g, Fat: 6g"
Mexican Potatoes Overnight Oats,Mexican,Breakfast,Medium,23,6,3,"Potatoes, Fish, Lentils","Potatoes, Fish, Lentils, Olive Oil, Sugar, Spices, Butter","Contains nuts, Contains shellfish, Vegan","Prepare Potatoes, Fish, Lentils. Cook with Potatoes, Fish, Lentils, Olive Oil, Sugar, Spices, Butter. Season and serve.","Calories: 492, Protein: 40g, Carbs: 30g, Fat: 17g"
Thai Lentils & Cheese Larb,Thai,Snacks,Medium,15,124,2,"Lentils, Cheese, Pork","Lentils, Cheese, Pork, Butter, Milk, Chili, Onion","Paleo, Contains nuts, Contains dairy","Prepare Lentils, Cheese, Pork. Cook with Lentils, Cheese, Pork, Butter, Milk, Chili, Onion. Season and serve.","Calories: 538, Protein: 18g, Carbs: 30g, Fat: 23g"
Indian Cheese Stir-Fry,Indian,Snacks,Hard,28,77,4,"Cheese, Chicken, Lentils","Cheese, Chicken, Lentils, Honey, Soy Sauce, Flour, Yogurt","Vegan, Kosher","Prepare Cheese, Chicken, Lentils. Cook with Cheese, Chicken, Lentils, Honey, Soy Sauce, Flour, Yogurt. Season and serve.","Calories: 597, Protein: 34g, Carbs: 62g, Fat: 22g"
Middle Eastern Pasta Skillet,Middle Eastern,Dinner,Easy,34,121,2,"Pasta, Spinach, Mushrooms","Pasta, Spinach, Mushrooms, Flour, Yogurt, Olive Oil, Soy Sauce","Vegan, Gluten-free","Prepare Pasta, Spinach, Mushrooms. Cook with Pasta, Spinach, Mushrooms, Flour, Yogurt, Olive Oil, Soy Sauce. Season and serve.","Calories: 418, Protein: 5g, Carbs: 80g, Fat: 11g"
French Beef Bake,French,Breakfast,Medium,70,17,4,"Beef, Rice, Tomatoes","Beef, Rice, Tomatoes, Yogurt, Milk, Herbs, Olive Oil","Contains dairy, Low-carb","Prepare Beef, Rice, Tomatoes. Cook with Beef, Rice, Tomatoes, Yogurt, Milk, Herbs, Olive Oil. Season and serve.","Calories: 612, Protein: 26g, Carbs: 65g, Fat: 9g"
French Potatoes Pilaf,French,Lunch,Easy,33,42,5,"Potatoes, Mushrooms, Shrimp","Potatoes, Mushrooms, Shrimp, Onion, Honey, Cream, Olive Oil",Contains dairy,"Prepare Potatoes, Mushrooms, Shrimp. Cook with Potatoes, Mushrooms, Shrimp, Onion, Honey, Cream, Olive Oil. Season and serve.","Calories: 482, Protein: 20g, Carbs: 21g, Fat: 14g"
Middle Eastern Tomatoes Stir-Fry,Middle Eastern,Dinner,Medium,51,80,7,"Tomatoes, Fish, Rice","Tomatoes, Fish, Rice, Spices, Yogurt, Soy Sauce, Onion","Low-carb, Vegetarian, Kosher","Prepare Tomatoes, Fish, Rice. Cook with Tomatoes, Fish, Rice, Spices, Yogurt, Soy Sauce, Onion. Season and serve.","Calories: 341, Protein: 24g, Carbs: 55g, Fat: 27g"
Japanese Fish Mini Skewers,Japanese,Snacks,Medium,69,1,6,"Fish, Lentils, Chicken","Fish, Lentils, Chicken, Soy Sauce, Garlic, Onion, Cream","Kosher, Low-carb","Prepare Fish, Lentils, Chicken. Cook with Fish, Lentils, Chicken, Soy Sauce, Garlic, Onion, Cream. Season and serve.","Calories: 662, Protein: 7g, Carbs: 37g, Fat: 12g"
Vietnamese Mushrooms Stew,Vietnamese,Dinner,Hard,32,121,8,"Mushrooms, Potatoes, Rice","Mushrooms, Potatoes, Rice, Chili, Cream, Butter, Onion","Contains nuts, Low-carb, Kosher","Prepare Mushrooms, Potatoes, Rice. Cook with Mushrooms, Potatoes, Rice, Chili, Cream, Butter, Onion. Season and serve.","Calories: 251, Protein: 13g, Carbs: 75g, Fat: 13g"
French Mushrooms Provençal Stew,French,Breakfast,Hard,44,79,5,"Mushrooms, Pork, Cheese","Mushrooms, Pork, Cheese, Chili, Onion, Garlic, Butter","Vegetarian, Gluten-free","Prepare Mushrooms, Pork, Cheese. Cook with Mushrooms, Pork, Cheese, Chili, Onion, Garlic, Butter. Season and serve.","Calories: 340, Protein: 12g, Carbs: 33g, Fat: 17g"
Mediterranean Rice Skillet,Mediterranean,Dinner,Medium,29,147,5,"Rice, Cheese, Eggs","Rice, Cheese, Eggs, Flour, Garlic, Yogurt, Onion","Kosher, Contains shellfish, Vegan","Prepare Rice, Cheese, Eggs. Cook with Rice, Cheese, Eggs, Flour, Garlic, Yogurt, Onion. Season and serve.","Calories: 213, Protein: 6g, Carbs: 16g, Fat: 14g"
Middle Eastern Shrimp Salad,Middle Eastern,Lunch,Hard,21,86,7,"Shrimp, Spinach, Mushrooms","Shrimp, Spinach, Mushrooms, Spices, Olive Oil, Sugar, Flour","Vegetarian, Paleo, Halal","Prepare Shrimp, Spinach, Mushrooms. Cook with Shrimp, Spinach, Mushrooms, Spices, Olive Oil, Sugar, Flour. Season and serve.","Calories: 571, Protein: 17g, Carbs: 38g, Fat: 26g"
American Potatoes & Spinach Pot Pie,American,Snacks,Hard,64,37,8,"Potatoes, Spinach, Rice","Potatoes, Spinach, Rice, Olive Oil, Cream, Butter, Spices",Contains dairy,"Prepare Potatoes, Spinach, Rice. Cook with Potatoes, Spinach, Rice, Olive Oil, Cream, Butter, Spices. Season and serve.","Calories: 533, Protein: 21g, Carbs: 58g, Fat: 27g"
French Tomatoes Bowl,French,Dinner,Hard,33,127,6,"Tomatoes, Mushrooms, Tofu","Tomatoes, Mushrooms, Tofu, Cream, Yogurt, Spices, Herbs",Low-carb,"Prepare Tomatoes, Mushrooms, Tofu. Cook with Tomatoes, Mushrooms, Tofu, Cream, Yogurt, Spices, Herbs. Season and serve.","Calories: 412, Protein: 10g, Carbs: 49g, Fat: 24g"
Vietnamese Pork Sandwich,Vietnamese,Lunch,Hard,16,74,1,"Pork, Shrimp, Rice","Pork, Shrimp, Rice, Flour, Onion, Milk, Garlic","Paleo, Contains dairy, Low-carb","Prepare Pork, Shrimp, Rice. Cook with Pork, Shrimp, Rice, Flour, Onion, Milk, Garlic. Season and serve.","Calories: 378, Protein: 13g, Carbs: 67g, Fat: 10g"
Indian Beef Bake,Indian,Breakfast,Easy,11,6,3,"Beef, Pasta, Eggs","Beef, Pasta, Eggs, Onion, Cream, Butter, Honey","Contains shellfish, Vegan","Prepare Beef, Pasta, Eggs. Cook with Beef, Pasta, Eggs, Onion, Cream, Butter, Honey. Season and serve.","Calories: 353, Protein: 15g, Carbs: 25g, Fat: 25g"
Vietnamese Cheese Stir-Fry,Vietnamese,Snacks,Easy,81,7,7,"Cheese, Pasta, Spinach","Cheese, Pasta, Spinach, Flour, Honey, Onion, Yogurt","Kosher, Halal","Prepare Cheese, Pasta, Spinach. Cook with Cheese, Pasta, Spinach, Flour, Honey, Onion, Yogurt. Season and serve.","Calories: 327, Protein: 40g, Carbs: 75g, Fat: 8g"
Thai Spinach Bites,Thai,Snacks,Hard,63,106,5,"Spinach, Mushrooms, Tofu","Spinach, Mushrooms, Tofu, Butter, Cream, Milk, Garlic","Vegetarian, Low-carb, Vegan","Prepare Spinach, Mushrooms, Tofu. Cook with Spinach, Mushrooms, Tofu, Butter, Cream, Milk, Garlic. Season and serve.","Calories: 424, Protein: 7g, Carbs: 18g, Fat: 9g"
Thai Lentils Pudding,Thai,Desserts,Medium,38,170,5,"Lentils, Pork, Fish","Lentils, Pork, Fish, Onion, Sugar, Garlic, Chili","Vegan, Vegetarian, Kosher","Prepare Lentils, Pork, Fish. Cook with Lentils, Pork, Fish, Onion, Sugar, Garlic, Chili. Season and serve.","Calories: 262, Protein: 37g, Carbs: 42g, Fat: 19g"
Indian Pork Sandwich,Indian,Lunch,Medium,55,107,3,"Pork, Potatoes, Tofu","Pork, Potatoes, Tofu, Garlic, Cream, Yogurt, Honey",Kosher,"Prepare Pork, Potatoes, Tofu. Cook with Pork, Potatoes, Tofu, Garlic, Cream, Yogurt, Honey. Season and serve.","Calories: 450, Protein: 5g, Carbs: 80g, Fat: 25g"
